Team,Elo Rating
Alamo Ctiy Roller Girls / Las Tejanas,709
Minnesota Roller Derby / MNRD B,720
Mid-State Roller Derby / All Stars,684
Madison Roller Derby / The Herd (SATURDAY),667
Los Alamos Derby Dames,665
Gotham Roller Derby / Gotham B Team,723
Gotham Roller Derby / Gotham All Stars,730
Boston Roller Derby / Boston Roller Derby A Team,723
Boston Roller Derby / Boston Roller Derby B Team,696
Madison Roller Derby / The Herd (FRIDAY),692
Black Rose Rollers / All Stars,707
Twister City Roller Derby / Victory All-Star Squad,703
Traverse City Roller Derby,708
Roc City Roller Derby / Roc Stars,711
Lowcountry Highrollers,686
Jacksonville / New Jax City Rollers,716
Gotham Roller Derby / Gotham Roller Derby All-Stars,726
Garden State Roller Derby / Ironbound Maidens,683
Fargo Moorhead Derby Girls,705
Enchanted Mountain Roller Derby / Hellbilly Heartbreakers,697
Assassination City Roller Derby / Conspiracy,735
Springfield Roller Derby / All Stars,684
Red Stick Roller Derby / Capital Defenders,692
Ottawa Valley Roller Derby / Rapids,701
Lehigh Valley Roller Derby / Lehigh Valley All-Stars,719
Druid City Derby,696
Dallas Derby Devils / Battalion of Doom,708
Circle City Roller Derby / Socialites,749
Norrköping Roller Derby,769
Bristol Roller Derby / Bristol Roller Derby Charter Team,674
Arizona Roller Derby / Rising,715
Angel City Derby / Rad Team,732
Rock Town Roller Derby / Queen Team,701
Peterborough Area Roller Derby,700
No Coast Roller Derby / Mad Maxines,688
Muscogee Roller Girls,710
Burning River Roller Derby / All-Stars,722
Boston Roller Derby / Boston Roller Derby: C Team,682
Arizona Roller Derby / All Stars,736
Tiger Bay Brawlers / All-Stars,717
Memphis Roller Derby,722
Bay State Brawlers / Brawlers,712
Harrisburg Area Roller Derby,719
Rock Town Roller Derby / Rocktown,699
Natural State Roller Derby / Natural State,718
Jet City Roller Derby,691
Denver Roller Derby / Bruising Altitude,693
SUSQUEHANNA VALLEY DERBY VIXENS,702
Naptown Roller Derby,713
Happy Valley Derby Darlins / Molly Morbids,660
Denver roller Derby / Mile High Club,719
Wine Town Rollers / Whine Makers,696
Santa Cruz Roller Derby / Harbor Hellcats,714
Rainy City Roller Derby / Reckoning,720
PEACH STATE ROLLER DERBY,693
Northern Arizona Roller Derby / Whiskey Row-llers,648
Gallatin Roller Derby / Mountain Mayhem,683
Brighton Rockers Roller Derby,737
Windy City Rollers / Windy City Rollers: Second Wind,708
Windy City Rollers / Windy City Rollers: All-Stars,704
West Florida Roller Derby,703
Vienna Roller Derby / Vienna A,695
Santa Cruz Roller Derby / Santa Cruz Harbor Hellcats,713
Sacramento Roller Derby / MaulStars,666
Ottawa Valley Roller Derby / Ottawa Valley Rapids,690
Ohio Roller Derby,732
Northern Arizona Roller Derby / Wild West Outlaws,728
Los Alamos Derby Dames League / Los Alamos Derby Dames,685
Lomme Roller Girls / Bad Bunnies,710
